,lifetime_minutes,mergetime_minutes,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,team_size,requester_succ_rate,first_response_time,core_member,same_country,same_affiliation,contrib_rate_author
count,238735.0,238735.0,238735.0,238735.0,238735.0,238735.0,238735.0,238735.0,238735.0,238735.0,238735.0,110014.0,238735.0,238735.0
mean,11639.62291243429,11617.215653339477,4.415180011309611,0.0410245669885019,3.930538044275033,7.639005591974365,2.2909837267262865,17.921079858420423,0.9330299756072634,1958.6656878966219,0.8949714118164492,0.9483611176759321,1.0,0.16023697548942908
std,51150.470865869844,51070.04502359007,11.212922586411729,0.8778281975013545,7.769836977207147,14.088514583961137,1.3138896546433148,24.005974880602825,0.21235061578298614,15256.342605070704,0.3065908961160861,0.22129788364686562,0.0,0.2067497119088966
min,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25%,168.0,168.0,1.0,0.0,1.0,2.0,1.0,5.0,0.971429,4.0,1.0,1.0,1.0,0.017409849999999998
50%,1405.0,1404.0,2.0,0.0,2.0,3.0,2.0,10.0,0.990741,29.0,1.0,1.0,1.0,0.0730269
75%,6993.0,6992.0,4.0,0.0,4.0,8.0,3.0,21.0,1.0,509.0,1.0,1.0,1.0,0.2223255
max,2676020.0,2676020.0,500.0,204.0,615.0,615.0,94.0,274.0,1.0,1614093.0,1.0,1.0,1.0,1.0
