,lifetime_minutes,mergetime_minutes,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,team_size,requester_succ_rate,first_response_time,core_member,same_country,same_affiliation,contrib_rate_author
count,1039950.0,1039950.0,1039950.0,1039950.0,1039950.0,1039950.0,1039950.0,1039950.0,1039950.0,1039950.0,1039950.0,305230.0,31511.0,1039950.0
mean,23082.807416702726,23049.146366652243,5.152935237271023,0.07722198182604934,3.912148660993317,7.133818933602577,2.2475695946920524,16.478101831818837,0.802177314151786,2973.2475532477524,0.638271070724554,0.7066212364446482,0.0,0.12249989491679093
std,93613.74347346877,93441.51785614571,14.839158683366614,1.1701073919411111,7.498622726765569,14.308086769268805,1.3869553116752125,34.544859457362406,0.3787152760857987,51064.72678592562,0.48050112696292485,0.4553112603894161,0.0,0.19955142035552506
min,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-2711607.0,0.0,0.0,0.0,0.0
25%,302.0,301.0,1.0,0.0,1.0,1.0,1.0,4.0,0.9375,6.0,0.0,0.0,0.0,0.002162005
50%,2197.0,2196.0,2.0,0.0,2.0,3.0,2.0,7.0,0.990323,53.0,1.0,1.0,0.0,0.025988400000000002
75%,10202.0,10200.0,4.0,0.0,4.0,7.0,3.0,14.0,1.0,917.0,1.0,1.0,0.0,0.15175075
max,3722750.0,3722750.0,2001.0,244.0,800.0,1636.0,82.0,277.0,1.0,3138525.0,1.0,1.0,0.0,1.0
