,lifetime_minutes,mergetime_minutes,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,team_size,requester_succ_rate,first_response_time,core_member,same_country,same_affiliation,contrib_rate_author
count,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
mean,934447.8776544336,814389.2123292312,418745.27181214484,418531.12042116874,418615.26265252556,418698.945451753,418517.5908954206,418534.5650767741,418492.7670502055,154825.11940984603,418492.6432000695,138674.15046131672,80089.7748114676,418492.33805203333
std,1697450.448148542,1507222.3450105228,1183572.3973812885,1183658.7263108555,1183624.7716041456,1183591.0476914118,1183664.1900755535,1183657.3331660626,1183674.2184152713,2182152.329525594,1183674.2684582996,392227.6260576019,226525.9909840343,1183674.391756696
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4158180.0,0.0,0.0,0.0,0.0
25%,680.5,483.5,1.0,0.0,0.75,0.75,0.75,5.25,0.714852142040739,43.5,0.3502667809456623,0.7094888879666937,0.7517567298977026,0.037506857500000004
50%,14120.577444258957,8348.296628237524,3.6569045355393484,0.022415146999480575,2.083936465949031,3.3728543876423003,1.3635816822923341,13.396700565154003,0.9753505,3156.5640659049245,0.8392890905653243,1.0,1.0,0.20246560463508517
75%,917000.8997602131,726201.3290330315,511.3955160657812,78.43890429205041,247.95001045453915,417.1134289364548,51.0,89.29540979664466,1.0,461770.6203602189,1.0,1.0,1.0,0.43506612046985477
max,3991780.0,3722750.0,3347937.0,3347937.0,3347937.0,3347937.0,3347937.0,3347937.0,3347937.0,3676119.0,3347937.0,1109388.0,640713.0,3347937.0
