,lifetime_minutes,mergetime_minutes,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,team_size,requester_succ_rate,first_response_time,core_member,same_country,same_affiliation,contrib_rate_author
count,104333.0,104333.0,104333.0,104333.0,104333.0,104333.0,104333.0,104333.0,104333.0,104333.0,104333.0,104333.0,104333.0,104333.0
mean,10875.124869408528,10872.554177489385,4.489873769564759,0.04547937852836591,3.8890859076227082,7.129450892814354,2.2227579001849844,16.611839015460113,0.9437322022562373,1833.1101952402403,0.9216067782964162,1.0,1.0,0.192182093857002
std,52459.44230161171,52453.506524029464,11.497112346064338,0.9337462568194852,7.8371053996700475,12.987451747331114,1.2489841121352583,22.79339171400368,0.18980995213112759,15658.305734915171,0.26879065641046546,0.0,0.0,0.22566363682130763
min,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
25%,127.0,127.0,1.0,0.0,1.0,1.0,1.0,5.0,0.973214,4.0,1.0,1.0,1.0,0.0277349
50%,1270.0,1270.0,2.0,0.0,2.0,3.0,2.0,9.0,0.990196,24.0,1.0,1.0,1.0,0.0991566
75%,5694.0,5693.0,4.0,0.0,4.0,7.0,3.0,20.0,1.0,394.0,1.0,1.0,1.0,0.271881
max,2601780.0,2601780.0,500.0,201.0,482.0,482.0,32.0,274.0,1.0,1614093.0,1.0,1.0,1.0,1.0
