,lifetime_minutes,mergetime_minutes,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,team_size,requester_succ_rate,first_response_time,core_member,same_country,same_affiliation,contrib_rate_author
count,1271064.0,1271064.0,1271064.0,1271064.0,1271064.0,1271064.0,1271064.0,1271064.0,1271064.0,1271064.0,1271064.0,413012.0,270135.0,1271064.0
mean,20902.55294540637,20870.905941006906,4.704192707841619,0.044850613344410664,3.9068276656407543,7.197643863723621,2.2503595412976845,16.78300227211218,0.826812796002208,3928.7980518683557,0.6863250001573485,0.7704425053025094,0.8837618227923075,0.12944155996456874
std,87072.60836691942,86912.0923269968,12.36784499653948,0.744732467062281,7.49227723720147,14.206884963969006,1.3558536495728049,32.903790045429155,0.3571038968231802,30468.16821442325,0.46398616756188643,0.42054878379184923,0.3205109103420003,0.2013906000523599
min,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,271.0,270.0,1.0,0.0,1.0,1.0,1.0,4.0,0.951613,6.0,0.0,1.0,1.0,0.00326128
50%,1907.0,1906.0,2.0,0.0,2.0,3.0,2.0,7.0,0.990431,48.0,1.0,1.0,1.0,0.0338445
75%,9706.0,9703.0,4.0,0.0,4.0,7.0,3.0,15.0,1.0,864.0,1.0,1.0,1.0,0.16773025
max,3722750.0,3722750.0,2001.0,244.0,800.0,1636.0,94.0,277.0,1.0,3138525.0,1.0,1.0,1.0,1.0
