,lifetime_minutes,mergetime_minutes,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,team_size,requester_succ_rate,first_response_time,core_member,same_country,same_affiliation,contrib_rate_author
count,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,27.0,8.0,82.0
mean,381650.7926829268,381650.7804878049,48.15853658536585,2.2804878048780486,79.97560975609755,114.8170731707317,27.170731707317074,43.19512195121951,0.5492068048780487,3735.670731707317,0.45121951219512196,0.48148148148148145,0.75,0.036989788637804874
std,452868.25417291414,452868.2645156949,83.16775691591407,7.703253105090343,71.3971634823633,131.59028521018672,10.990236832335967,66.40791248118255,0.4919068032044292,14592.420250485768,0.5006770483805582,0.5091750772173156,0.4629100498862757,0.1277746379884129
min,1253.0,1253.0,1.0,0.0,10.0,22.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,47462.75,47462.75,3.0,0.0,38.25,48.25,21.0,3.0,0.0,8.25,0.0,0.0,0.75,0.0
50%,170023.0,170023.0,7.5,0.0,55.5,68.5,24.0,10.5,0.9740215,38.0,0.0,0.0,1.0,0.002278985
75%,646122.75,646122.75,35.75,0.0,93.5,128.0,29.0,53.25,1.0,419.5,1.0,1.0,1.0,0.010803975
max,2461180.0,2461180.0,347.0,47.0,364.0,878.0,94.0,270.0,1.0,94874.0,1.0,1.0,1.0,0.809259
