,lifetime_minutes,mergetime_minutes,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,team_size,requester_succ_rate,first_response_time,core_member,same_country,same_affiliation,contrib_rate_author
count,2115.0,2115.0,2115.0,2115.0,2115.0,2115.0,2115.0,2115.0,2115.0,2115.0,2115.0,553.0,372.0,2115.0
mean,227536.46430260048,227536.4501182033,20.2548463356974,0.7366430260047281,49.618912529550826,84.93664302600473,11.476595744680852,80.1323877068558,0.730532051536643,4733.183924349882,0.658628841607565,0.6003616636528029,0.7741935483870968,0.0299917254313617
std,347704.0716195113,347704.0774822998,47.99884517406664,6.953226287273179,50.925859458054724,85.39355025331488,1.9173548242124607,91.27402401819491,0.4256632683272802,25021.89340498085,0.47428182207974195,0.4902674655767241,0.4186754175912311,0.09691922985549802
min,72.0,72.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,31405.0,31405.5,2.0,0.0,21.0,33.0,10.0,11.0,0.1916665,0.0,0.0,0.0,1.0,0.00024786649999999997
50%,88741.0,88741.0,5.0,0.0,35.0,58.0,11.0,38.0,0.985019,7.0,1.0,1.0,1.0,0.00209719
75%,267104.5,267104.5,15.0,0.0,58.0,102.0,12.0,112.5,1.0,253.0,1.0,1.0,1.0,0.0150376
max,2809360.0,2809360.0,620.0,204.0,800.0,1005.0,19.0,275.0,1.0,393213.0,1.0,1.0,1.0,1.0
