,lifetime_minutes,mergetime_minutes,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,team_size,requester_succ_rate,first_response_time,core_member,same_country,same_affiliation,contrib_rate_author
count,1092540.0,1092540.0,1092540.0,1092540.0,1092540.0,1092540.0,1092540.0,1092540.0,1092540.0,1092540.0,1092540.0,361355.0,229252.0,1092540.0
mean,15410.970427627364,15375.976684606514,4.191041060281545,0.03388251231076208,2.5164588939535393,4.666328921595548,1.8315338568839585,13.160031669321032,0.8304975271647262,4100.052971973566,0.6859904442857927,0.780744697043074,0.8907752167920018,0.14051498824768
std,69320.38445399662,69090.9229869887,10.731505765158015,0.5681485835887766,3.4205555409941644,7.5372709271441325,0.7521044372074467,22.79561021912304,0.3540613401469747,31409.64345722121,0.46412040657217546,0.41374253927674487,0.3119217118826539,0.20939142567472135
min,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,190.0,189.0,1.0,0.0,1.0,1.0,1.0,4.0,0.953846,7.0,0.0,1.0,1.0,0.00414938
50%,1434.0,1434.0,2.0,0.0,2.0,3.0,2.0,7.0,0.990909,58.0,1.0,1.0,1.0,0.041810150000000004
75%,7231.0,7229.0,4.0,0.0,3.0,5.0,2.0,13.0,1.0,954.0,1.0,1.0,1.0,0.189655
max,3722750.0,3722750.0,715.0,244.0,362.0,760.0,3.0,276.0,1.0,3138525.0,1.0,1.0,1.0,1.0
