,lifetime_minutes,mergetime_minutes,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,team_size,requester_succ_rate,first_response_time,core_member,same_country,same_affiliation,contrib_rate_author
count,952862.0,952862.0,952862.0,952862.0,952862.0,952862.0,952862.0,952862.0,952862.0,952862.0,952862.0,94810.0,158985.0,952862.0
mean,23021.09609576203,22986.859901014,4.573386282588665,0.044297075547141136,4.063665042786888,7.406435559398948,2.2876670493733613,17.69407637202449,0.801583941256551,4371.123331605207,0.632972035824705,0.0,0.8453753498757745,0.10520632029728093
std,92558.13540695621,92401.35213538943,12.04143974107215,0.732253343390186,7.752491653787952,14.682420643003972,1.3928407521321937,35.17949797829326,0.37899244898407725,32819.60113239841,0.48199448285234536,0.0,0.3615476315692006,0.1799952847904409
min,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,348.0,348.0,1.0,0.0,1.0,1.0,1.0,4.0,0.936508,6.0,0.0,0.0,1.0,0.0019305
50%,2446.0,2445.0,2.0,0.0,2.0,3.0,2.0,8.0,0.990385,55.0,1.0,0.0,1.0,0.0209102
75%,10604.0,10597.0,4.0,0.0,4.0,8.0,3.0,16.0,1.0,933.0,1.0,0.0,1.0,0.123418
max,3722750.0,3722750.0,2001.0,244.0,800.0,1005.0,94.0,277.0,1.0,3138525.0,1.0,0.0,1.0,1.0
