,lifetime_minutes,mergetime_minutes,num_commits,num_commit_comments,num_issue_comments,num_comments,num_participants,team_size,requester_succ_rate,first_response_time,core_member,same_country,same_affiliation,contrib_rate_author
count,318202.0,318202.0,318202.0,318202.0,318202.0,318202.0,318202.0,318202.0,318202.0,318202.0,318202.0,318202.0,111150.0,318202.0
mean,14558.534795507256,14534.64117133142,5.095895060370457,0.04650819290890692,3.43717512774904,6.572413121224883,2.138641491882515,14.054773382945424,0.9023610860527275,2604.246506935846,0.8460914764834916,1.0,0.9386684660368871,0.20201445058075337
std,67655.47034470507,67473.50726439571,13.289760764223384,0.7809085013473719,6.630320665476753,12.6560767372914,1.2317685857362195,24.67324651533689,0.2676975630288453,21916.563026168154,0.36086160663865424,0.0,0.23993852308042274,0.2407645646952359
min,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25%,139.0,139.0,1.0,0.0,1.0,1.0,1.0,4.0,0.969512,5.0,1.0,1.0,1.0,0.0207469
50%,1338.0,1338.0,2.0,0.0,2.0,3.0,2.0,7.0,0.990566,34.0,1.0,1.0,1.0,0.102493
75%,6739.0,6737.0,4.0,0.0,4.0,7.0,3.0,14.0,1.0,620.0,1.0,1.0,1.0,0.29821975
max,3327520.0,3327520.0,715.0,201.0,482.0,1636.0,55.0,274.0,1.0,2226307.0,1.0,1.0,1.0,1.0
